problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap
AUG2D,clarabel,default,0.0646770780003862,False,inf,inf,inf
AUG2D,clarabel,high_accuracy,0.0318747609999263,False,inf,inf,inf
AUG2D,clarabel,low_accuracy,0.0318745959993975,False,inf,inf,inf
AUG2D,clarabel,mid_accuracy,0.0320325470001989,False,inf,inf,inf
AUG2D,cvxopt,default,89.08260487799998,True,1.5734707226044975e-06,1.616484723761214e-13,1.3969838619232178e-09
AUG2D,cvxopt,high_accuracy,692.2157550499996,False,inf,inf,inf
AUG2D,cvxopt,low_accuracy,61.69515372800015,True,2.505912391370657e-06,1.5825888732031378e-13,9.313225746154783e-10
AUG2D,cvxopt,mid_accuracy,61.6939487489999,True,2.505912391370657e-06,1.5825888732031378e-13,9.313225746154783e-10
AUG2D,gurobi,default,0.1301572400006989,False,inf,inf,inf
AUG2D,gurobi,high_accuracy,0.1301877730002161,False,inf,inf,inf
AUG2D,gurobi,low_accuracy,0.1298567099984211,False,inf,inf,inf
AUG2D,gurobi,mid_accuracy,0.1268025380013568,False,inf,inf,inf
AUG2D,highs,default,0.0,False,inf,inf,inf
AUG2D,highs,high_accuracy,0.0,False,inf,inf,inf
AUG2D,highs,low_accuracy,0.0,False,inf,inf,inf
AUG2D,highs,mid_accuracy,0.0,False,inf,inf,inf
AUG2D,osqp,default,0.0689878069988481,True,0.0007200615986016,0.0004738286053784,1428.9511846886016
AUG2D,osqp,high_accuracy,0.172742164999363,True,4.540590126111965e-12,1.4770407119613085e-12,6.086193025112152e-07
AUG2D,osqp,low_accuracy,0.0921397900001466,True,0.0007200615986016,0.0004738286053784,1428.9511846886016
AUG2D,osqp,mid_accuracy,0.1300354969989712,True,2.931943101636137e-07,1.3470327075992827e-09,0.5783348404802382
AUG2D,piqp,default,0.0920378209993941,True,4.416467191958873e-13,1.1302070390684097e-13,8.693896234035492e-07
AUG2D,piqp,high_accuracy,2.6407204139995883,False,inf,inf,inf
AUG2D,piqp,low_accuracy,0.0651630559987097,True,4.416467191958873e-13,1.1302070390684097e-13,8.693896234035492e-07
AUG2D,piqp,mid_accuracy,0.0921727629993256,True,4.416467191958873e-13,1.1302070390684097e-13,8.693896234035492e-07
AUG2D,proxqp,default,29.328695301999687,True,6.264696041813345e-06,1.988190945212409e-09,12.359677465632558
AUG2D,proxqp,high_accuracy,0.0,False,inf,inf,inf
